[!] 00:15:41 -        users - ~home@p5b0b6f55.dip.t-dialin.net - [u'~home@p5B0B6F55.dip.t-dialin.net'] - ['GUEST'] - added to user database
[!] 11:03:30 -         exit - SHUTTING DOWN
[!] 11:03:30 -         exit - shutting down fleet
[!] 11:03:30 -      botbase - default-irc - exit
[!] 11:03:30 -      botbase - default-irc - stopping output loop
[!] 11:03:30 -      botbase - default-irc - eventloop stopped
[!] 11:03:30 -          irc - default-irc - shutdown
[!] 11:03:30 -         exit - shutting down plugins
[!] 11:03:30 -         exit - shutting down runners
[!] 11:03:30 -         exit - cleaning up any open files
[!] 11:03:30 -    memcached - memcached is disabled
[!] 11:03:30 -         exit - done
[!] 11:03:32 -          log - loglevel is 30 (warn)
[!] 11:03:32 -      datadir - datadir - set to /krebs/krebsbeam/.jsb
[!] 11:03:32 -      plugins - jsb.plugs.core.admin loaded
[!] 11:03:32 -      plugins - jsb.plugs.core.dispatch loaded
[!] 11:03:32 -      plugins - jsb.plugs.core.plug loaded
[!] 11:03:32 -      plugins - myplugs.common.mate loaded
[!] 11:03:33 -      plugins - myplugs.common.userlist loaded
[!] 11:03:33 -      plugins - myplugs.common.pizza loaded
[!] 11:03:33 -         boot - boot - done
[!] 11:03:33 -        fleet - loading default-irc
[!] 11:03:35 -          irc - default-irc - connecting to irc.freenode.net - irc.freenode.net - 6667
[!] 11:03:35 -          irc - default-irc - connection ok
[!] 11:03:37 -          irc - default-irc - registering with irc.freenode.net using nick krebsbeam
[!] 11:03:37 -          irc - default-irc - this may take a while
[!] 11:03:40 -      botbase - default-irc - starting output loop
[!] 11:03:40 -      botbase - default-irc - eventloop started
[!] 11:03:40 -          irc - default-irc - starting readloop
[!] 11:03:40 -      botbase - default-irc - None - *** Looking up your hostname...
[!] 11:03:40 -      plugins - jsb.plugs.core.underauth loaded
[!] 11:03:40 -      plugins - jsb.plugs.socket.chatlog loaded
[!] 11:03:40 -      botbase - default-irc - None - *** Checking Ident
[!] 11:03:40 -      botbase - default-irc - None - *** Found your hostname
[!] 11:03:49 -      botbase - default-irc - None - *** No Ident response
[!] 11:03:49 -      botbase - default-irc - logged on !
[!] 11:03:49 -      plugins - jsb.plugs.core.nickserv loaded
[!] 11:03:49 -       morphs - morphs - added morph function <function docolormorph at 0x96ceca4> - jsb.plugs.common.colors
[!] 11:03:49 -      plugins - jsb.plugs.common.colors loaded
[!] 11:03:49 -      plugins - jsb.plugs.socket.udp loaded
[!] 11:03:50 -      plugins - jsb.plugs.common.rss loaded
[!] 11:03:51 -     ircevent - irc - msg detected - setting channel to None
[!] 11:03:51 -      plugins - jsb.plugs.core.chan loaded
[!] 11:03:51 -      plugins - jsb.plugs.socket.kickban loaded
[!] 11:03:51 -      plugins - jsb.plugs.socket.ops loaded
[!] 11:03:55 -        users - ~krebsbeam@p5de7a801.dip.t-dialin.net - [u'~krebsbeam@p5DE7A801.dip.t-dialin.net'] - ['GUEST'] - added to user database
[!] 11:03:55 -          bot - default-irc - joined #shackspace
[!] 11:03:56 -      plugins - jsb.plugs.common.forward loaded
[!] 11:03:56 -      plugins - jsb.plugs.common.watcher loaded
[!] 11:03:56 -      plugins - jsb.plugs.common.seen loaded
[!] 11:03:56 -      plugins - jsb.plugs.common.remind loaded
[!] 11:03:56 -      plugins - jsb.plugs.socket.geo loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.relay loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.learn loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.url loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.karma loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.urlinfo loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.ask loaded
[!] 11:04:06 -      plugins - jsb.plugs.common.idle loaded
[!] 11:05:06 -     commands - dispatching login for ~momorient@mo2-systems.com
[!] 11:06:17 -     commands - dispatching login for ~housetier@pdpc/supporter/professional/housetier
[!] 11:06:52 -     ircevent - irc - msg detected - setting channel to ~momorient@mo2-systems.com
[!] 11:06:52 -     commands - dispatching plug-enable for ~momorient@mo2-systems.com
[!] 11:06:52 -      plugins - myplugs.common.userlist loaded
[!] 11:18:32 -        users - ~tv@pd9f7b89c.dip.t-dialin.net - [u'~tv@pD9F7B89C.dip.t-dialin.net'] - ['GUEST'] - added to user database
[!] 11:18:32 -      plugins - jsb.plugs.core.nickcapture loaded
[!] 11:20:28 -        users - ~tv@p4fd66472.dip.t-dialin.net - [u'~tv@p4FD66472.dip.t-dialin.net'] - ['GUEST'] - added to user database
